YR MNTH DY HR SWE PRCP RAIM TAIR PET ET MOD_RUN OBS_RUN
1980 11 25 12   0.5563000  18.9900000  33.0335000   4.8350000   0.4186000   0.4165000   5.2695000   3.6302000
1980 11 26 12   0.0000000  16.8200000  16.8200000   2.4400000   0.3218000   0.3202000   7.8990000   6.5361000
1980 11 27 12   0.0000000   0.0000000   0.0000000  -2.1950000   0.2386000   0.2374000   7.2937000   6.0365000
1980 11 28 12   5.6490000   5.5600000   0.0500000  -1.2200000   0.2365000   0.2351000   5.5741000   4.9125000
1980 11 29 12   0.0000000  36.4900000  42.1390000   2.5500000   0.2713000   0.2695000   8.2753000   9.4087000
1980 11 30 12   0.0000000   0.0000000   0.0000000   2.1500000   0.2764000   0.2750000   9.3458000   9.9082000
1980 12 01 12   0.0000000   0.0000000   0.0000000   0.7900000   0.2266000   0.2251000   7.1970000   7.9516000
1980 12 02 12   0.0000000   0.0000000   0.0000000   2.0550000   0.1545000   0.1534000   5.5126000   5.9949000
1980 12 03 12   0.0000000  14.4100000  14.4100000   3.8400000   0.2653000   0.2633000   5.2622000   5.5786000
1980 12 04 12   5.9975000   5.9000000   0.0500000  -2.7200000   0.1228000   0.1222000   5.2136000   6.4112000
1980 12 05 12   9.3710000   3.3400000   0.0500000  -6.3650000   0.2410000   0.2397000   4.2142000   5.5786000
1980 12 06 12   9.3211000   0.0000000   0.0499000  -4.4000000   0.1384000   0.1376000   3.4418000   4.4545000
1980 12 07 12   9.2713000   0.0000000   0.0498000  -2.0100000   0.1748000   0.1737000   2.8935000   3.6094000
1980 12 08 12   9.2216000   0.0000000   0.0497000  -2.6550000   0.0690000   0.0685000   2.5074000   3.4845000
1980 12 09 12   6.9184000   5.0000000   6.9049000   1.7450000   0.1832000   0.1819000   2.5353000   3.4804000
1980 12 10 12   9.1861000   1.8600000   0.4355000  -4.0250000   0.0581000   0.0578000   2.5423000   3.1723000
1980 12 11 12   8.7135000   0.0000000   0.0742000  -7.8150000   0.0376000   0.0374000   2.3154000   2.5395000
1980 12 12 12   8.6578000   0.0000000   0.0557000 -14.1450000   0.0469000   0.0466000   2.1071000   2.1065000
1980 12 13 12  14.7239000   5.9700000   0.0532000  -7.5500000   0.0930000   0.0925000   1.9461000   2.0607000
1980 12 14 12  14.6708000   0.0000000   0.0531000  -9.6100000   0.0000000   0.0000000   1.8287000   1.9525000
1980 12 15 12  14.6177000   0.0000000   0.0530000 -14.1400000   0.0316000   0.0315000   1.7393000   1.7901000
1980 12 16 12  23.1450000   8.3700000   0.0520000 -13.7050000   0.1020000   0.1015000   1.6743000   1.8151000
1980 12 17 12  33.3334000   9.9900000   0.0513000  -8.4300000   0.1427000   0.1420000   1.6163000   1.5778000
1980 12 18 12  33.2821000   0.0000000   0.0513000 -13.5050000   0.0112000   0.0111000   1.5702000   1.5986000
1980 12 19 12  40.0165000   6.6200000   0.0511000  -8.0400000   0.1190000   0.1183000   1.5350000   1.4779000
1980 12 20 12  39.9654000   0.0000000   0.0511000 -15.3550000   0.0104000   0.0103000   1.5040000   1.4571000
1980 12 21 12  39.9144000   0.0000000   0.0511000 -18.1200000   0.0416000   0.0414000   1.4748000   1.4155000
1980 12 22 12  39.8633000   0.0000000   0.0510000 -18.5600000   0.0407000   0.0405000   1.4479000   1.3738000
1980 12 23 12  42.8155000   2.9300000   0.0510000 -13.8050000   0.0761000   0.0757000   1.4239000   1.3530000
