catchment_name,objective_function,objective_value,Ts,CFMAX,CFR,CWH,BETA,LP,FC,PERC,K0,K1,K2,UZL,MAXBAS
"Medina River, TX, USA",bias,3.820090764464824e-10,-0.7599739584221764,2.524250681561724,0.6699161355832961,0.4048642093805975,0.8297322092637858,0.4485524791281033,348.28775602318353,88.1627030329071,0.41154074033666244,0.42687989297767487,0.09395751184292454,74.42141007780496,3.5052134377011352
"Medina River, TX, USA",rmse,0.7801885614236714,-0.880812150758059,15.638318215560684,0.5579845968685921,0.4122940947972092,1.3790485216750183,1.0,1917.6926086500875,0.29266486610757725,1.5785518051733856,0.06903343212978318,0.04972135317478756,5.224388810677428,1.7179003701175546
"Medina River, TX, USA",nse,0.7010650148627131,1.2211117377310992,6.548786657825085,0.6392087524824547,0.2194562204353223,1.309926974984292,1.0,1823.1090304154902,18.052219139314694,1.1279933611961512,0.05628243686911243,0.1,3.2319924290251762,1.442373074074145
"Siletz River, OR, USA",bias,1.7464455084359318,0.023265834117038642,7.218720432554763,0.4076446615932236,0.6650318399341976,0.0,0.42263224325375537,279.05202468615965,56.22466850750545,0.8966708595913562,1.0,0.0983174160997453,47.91026662961893,4.6982668308761415
"Siletz River, OR, USA",rmse,5.554945666569716,2.4024999387303687,1.2685904585259626,0.21770824890984797,0.023551444334206296,0.0,0.7428785524739246,569.603740247187,8.031042817970864,0.4722985577789532,0.0479238186286604,0.1,8.800095307884401,1.67140350771041
"Siletz River, OR, USA",nse,0.4518872714638076,2.759998045777792,1.4248437647967036,0.9357917935553984,0.0,2.1171272693198787e-17,0.893667025664541,1040.8300683009709,25.79374754157365,0.7084377721204657,0.6302187557686038,0.1,68.7652795714734,2.4332817826535837
"Trout River, BC, Canada",bias,1.0450935693686432e-09,0.5188535481215091,9.930768612664934,0.36048524923484276,0.15628519004727545,0.21578315497748923,0.7833053103546407,1966.8044139621152,88.67380263508666,0.3347390329720196,0.23822921436498617,0.05227869296814979,38.11726829261242,5.623434395624796
"Trout River, BC, Canada",rmse,0.6659811565714414,-2.6504731335200105,0.6554067659082576,0.6287776538418621,0.11289517881842562,0.44738403244737635,0.5232182040338405,1235.6349270251044,49.6605109995435,1.7395453994239056,0.06598494265617193,0.05278747778609431,70.33136435670764,2.6104521825891682
"Trout River, BC, Canada",nse,0.5446001060285838,-2.868730954577292,0.6162694896437556,0.7183587496747229,0.12429128902471899,0.4013776082428223,0.4748430221460455,1664.248894181535,60.915285993431866,0.754734934026055,0.08036263232199828,0.053719740080499824,77.51052816006133,2.795306671026771
